"id","Year","Age","trackid","start_time","DeploymentID","sex","tripduration.days","maxdistance.km","totalpathdistance.km","total_landings_hmm","propRest_hmm","propSearch_hmm","propTravel_hmm","propARSvsTravel_hmm","logmaxdistance.km","logtotalpathdistance.km","southLat","northLat","latRange","SAMIndex","IODIndex","SOIIndex","boldness","attempted_breeding","breeding_success","prevyear"
"waal_2962",2013,10,683,2013-03-20 03:08:00,"BS28278_2013_b","Female",3.1875,1016.599212,2538.517964,7,0.075409836,0.31147541,0.613114754,0.336879433,6.92421822987971,7.83933571098246,-46.36108,-39.16966,7.19142,2.31,0.183,2.5,0.480795274,1,1,"no attempt"
"waal_2980",2018,9,365,2018-02-04 10:12:00,"BS28309_2018","Female",14.97916667,1355.110229,6265.362337,50,0.215031315,0.576896312,0.208072373,0.734929078,7.21163807982058,8.74279170077351,-48.49826,-44.02095,4.47731,1.02,0.295,-0.8,0.820210775,1,1,"no attempt"
"waal_4623",2012,NA,535,2012-02-25 15:07:00,"BS29993_2012","Female",8.791666667,672.6861532,3136.507022,17,0.536180308,0.207591934,0.256227758,0.447570332,6.51127888090414,8.0508650463355,-47.38843,-41.38787,6.00056,-1.53,0.002,0.8,NA,NA,NA,NA
"waal_3289",2017,27,344,2017-02-22 14:41:00,"BS30358_2017","Female",15.72916667,1669.534055,6683.401243,47,0.447978794,0.282968854,0.269052353,0.512605042,7.42029985749852,8.80738230506236,-46.93377,-34.21115,12.72262,-1.09,0.181,-0.1,NA,1,1,"no attempt"
"waal_3294",2016,9,197,2016-02-04 20:46:00,"BS30433_2016","Female",11.71875,1741.512966,6892.566632,21,0.233096085,0.411921708,0.354982206,0.53712297,7.46250953508411,8.83819881017077,-48.30036,-32.03002,16.27034,1.35,-0.03,-3.2,0.824263509,1,1,"no attempt"
"waal_3294",2016,9,196,2016-01-16 11:08:00,"BS30433_2016","Female",8.15625,1525.029622,4340.382296,23,0.246803069,0.411764706,0.341432225,0.546689304,7.32976911311516,8.375717709851,-46.63967,-33.66887,12.9708,3.13,0.331,-3.6,0.824263509,1,1,"no attempt"
"waal_3294",2016,9,198,2016-02-28 17:44:00,"BS30433_2016","Female",9,789.6047068,4832.594665,29,0.249130939,0.374275782,0.376593279,0.49845679,6.67153244909441,8.48313880013014,-46.75458,-43.25696,3.49762,1.35,-0.03,-3.2,0.824263509,1,1,"no attempt"
"waal_3294",2016,9,199,2016-03-14 11:33:00,"BS30433_2016","Female",4.770833333,1652.356918,4106.931216,6,0.142231947,0.207877462,0.649890591,0.242346939,7.40995798280315,8.32043136582507,-46.8011,-32.74465,14.05645,4.36,0.091,-0.1,0.824263509,1,1,"no attempt"
"waal_3294",2016,9,200,2016-03-21 12:31:00,"BS30433_2016","Female",3.083333333,1094.083383,2854.444839,3,0.098305085,0.176271186,0.725423729,0.195488722,6.9976721985418,7.95663265099269,-46.71875,-38.69801,8.02074,4.36,0.091,-0.1,0.824263509,1,1,"no attempt"
"waal_3294",2016,9,201,2016-03-29 09:09:00,"BS30433_2016","Female",3.052083333,618.8697988,2325.686902,3,0.136986301,0.339041096,0.523972603,0.392857143,6.42789490936431,7.75177071610758,-46.99585,-44.30334,2.69251,4.36,0.091,-0.1,0.824263509,1,1,"no attempt"
