"DeploymentID","trackid","Year","Age","start_time","sex","tripduration.days","maxdistance.km","totalpathdistance.km","total_landings_hmm","propRest_hmm","propSearch_hmm","propTravel_hmm","propARSvsTravel_hmm","logmaxdistance.km","logtotalpathdistance.km","southLat","northLat","latRange","SAMIndex","IODIndex","SOIIndex","boldness","attempted_breeding","breeding_success","prevyear","med_travel_dist","min_latitude","med_latitude","id"
"waal_2860_2013",669,2013,30,"2013-03-26 10:34:00","Female",4.697916667,1050.800812,2691.576272,9,0.362222222,0.246666667,0.391111111,0.386759582,6.95730783055566,7.89788227570093,-49.03097,-44.50495,4.52602,2.31,0.183,2.5,-1.136889152,1,1,"failedrep",50.8055878092615,-49.03097,-48.20519,"waal_2860"
"waal_2860_2013",670,2013,30,"2013-04-02 05:16:00","Female",2.0625,264.6650906,979.9130854,9,0.294416244,0.385786802,0.319796954,0.54676259,5.57846521764946,6.88746387936422,-46.51567,-44.10731,2.40836,-0.07,-0.222,0.4,-1.136889152,1,1,"failedrep",55.9398215235396,-46.51567,-46.226775,"waal_2860"
"waal_2861_2013",671,2013,27,"2013-03-13 09:34:00","Female",3.802083333,155.7096845,1013.761593,14,0.357142857,0.563186813,0.07967033,0.876068376,5.04799327664872,6.92142304112256,-47.33017,-46.29891,1.03126,2.31,0.183,2.5,NA,1,1,"no attempt",36.1117401748612,-47.33017,-46.575975,"waal_2861"
"waal_2861_2013",672,2013,27,"2013-03-19 15:08:00","Female",3.635416667,561.4973344,2042.67928,10,0.232758621,0.390804598,0.376436782,0.509363296,6.33060702688317,7.62201759766798,-47.03987,-44.03253,3.00734,2.31,0.183,2.5,NA,1,1,"no attempt",44.2450579960272,-47.03987,-44.796815,"waal_2861"
"waal_2861_2013",673,2013,27,"2013-03-25 09:33:00","Female",0.729166667,75.69042082,185.4385775,2,0.550724638,0.333333333,0.115942029,0.741935484,4.32665161108895,5.22272370861724,-46.94509,-46.42715,0.517940000000003,2.31,0.183,2.5,NA,1,1,"no attempt",57.715116589929,-46.94509,-46.88939,"waal_2861"
"waal_2861_2013",674,2013,27,"2013-03-28 09:21:00","Female",0.885416667,75.15574693,216.3955423,2,0.55952381,0.357142857,0.083333333,0.810810811,4.31956258606285,5.37710794740711,-46.93455,-46.4237,0.510850000000005,2.31,0.183,2.5,NA,1,1,"no attempt",70.9001525855158,-46.91956,-46.62547,"waal_2861"
"waal_2861_2013",675,2013,27,"2013-03-30 09:41:00","Female",0.78125,71.41891627,205.6208958,3,0.22972973,0.702702703,0.067567568,0.912280702,4.26856276801029,5.32603416168518,-46.99924,-46.42679,0.572450000000003,2.31,0.183,2.5,NA,1,1,"no attempt",21.0242187099358,-46.99924,-46.82264,"waal_2861"
"waal_2921_2016",278,2016,8,"2016-02-03 15:58:00","Female",14.76041667,1619.915849,8244.711949,32,0.332627119,0.288135593,0.379237288,0.431746032,7.39012948181551,9.01732729793708,-57.9844,-45.07753,12.90687,1.35,-0.03,-3.2,0.136684705,1,1,"no attempt",103.214208347082,-57.9844,-49.013965,"waal_2921"
"waal_2927_2019",469,2019,11,"2019-02-07 13:33:00","Female",9.604166667,1002.676039,4746.321067,34,0.363735071,0.34310532,0.293159609,0.539249147,6.91042774376485,8.46512508472862,-46.94821,-42.26683,4.68138,-1.87,0.496,-2.3,-0.278870406,1,1,"no attempt",40.5572417525753,-46.94821,-43.756935,"waal_2927"
"waal_2932_2018",431,2018,10,"2018-01-16 08:23:00","Female",10.90625,456.8085907,2855.10778,58,0.460803059,0.419694073,0.119502868,0.778368794,6.12426446442591,7.95686487269103,-46.53453,-44.16387,2.37065999999999,2.72,-0.135,1.8,0.395424316,1,1,"no attempt",23.2932215422062,-46.53453,-45.53381,"waal_2932"
"waal_4628_2019",454,2019,NA,"2019-02-16 07:43:00","Male",14.83333333,2306.630871,7950.196918,42,0.338018271,0.307097681,0.354884048,0.463906582,7.74354324147059,8.98095197690137,-66.12152,-45.97608,20.14544,-1.87,0.496,-2.3,-0.473145693,NA,NA,NA,54.8169327673799,-66.12152,-58.174655,"waal_4628"
"waal_2937_2020",491,2020,12,"2020-02-10 12:21:00","Female",10.5625,809.9149668,3376.94163,38,0.445212241,0.3988154,0.155972359,0.71886121,6.69692926289652,8.12472573566408,-46.63386,-43.88968,2.74418,-0.36,0.134,-0.1,-1.934336056,1,1,"no attempt",31.433509749738,-46.63386,-45.42071,"waal_2937"
"waal_2938_2019",480,2019,11,"2019-02-03 09:03:00","Male",6.666666667,580.1873273,2022.2264,27,0.48200313,0.355242567,0.162754304,0.685800604,6.36335102949771,7.6119543616606,-48.9455,-45.08283,3.86267,-1.87,0.496,-2.3,NA,1,1,"no attempt",54.580956197668,-48.9455,-46.93083,"waal_2938"
"waal_2940_2019",445,2019,11,"2019-01-26 10:11:00","Female",19.60416667,1759.225669,12094.27342,44,0.247608927,0.332093518,0.420297556,0.441384181,7.4726290304256,9.40048734848235,-46.349,-31.32133,15.02767,2.79,0.452,-0.1,-1.01259438,1,1,"no attempt",50.1121336269232,-46.349,-37.76473,"waal_2940"
"waal_2942_2011",497,2011,NA,"2011-01-17 14:49:00","Female",11.67708333,1038.855204,4335.346704,34,0.416964286,0.347321429,0.235714286,0.595712098,6.94587462046363,8.37455686387126,-48.08434,-42.66933,5.41501,0.48,0.257,3.8,1.152243072,NA,NA,NA,40.7059925343386,-48.08434,-43.59288,"waal_2942"
"waal_2942_2013",676,2013,NA,"2013-03-13 12:30:00","Female",5.604166667,86.12816117,663.1725082,18,0.680297398,0.243494424,0.076208178,0.761627907,4.45583643310145,6.49703514970494,-46.96674,-45.7006,1.26614,2.31,0.183,2.5,1.152243072,NA,NA,NA,63.4493345231745,-46.96674,-46.01178,"waal_2942"
"waal_2942_2013",677,2013,NA,"2013-03-22 04:53:00","Female",1.333333333,126.6804397,438.078847,4,0.307086614,0.559055118,0.133858268,0.806818182,4.84166769261484,6.08239891015725,-46.35736,-45.33992,1.01744,2.31,0.183,2.5,1.152243072,NA,NA,NA,34.5550324539645,-46.35736,-45.59443,"waal_2942"
"waal_2942_2013",678,2013,NA,"2013-03-25 10:22:00","Female",2.885416667,150.6987568,1459.34326,2,0.137681159,0.612318841,0.25,0.710084034,5.0152828560961,7.28574179158435,-46.62957,-45.37925,1.25032,2.31,0.183,2.5,1.152243072,NA,NA,NA,37.72489388985,-46.60756,-45.70954,"waal_2942"
"waal_2942_2013",679,2013,NA,"2013-03-30 02:39:00","Female",5.916666667,234.6636254,1241.188206,21,0.565140845,0.299295775,0.13556338,0.688259109,5.45815310746277,7.12382443043433,-46.84063,-45.20258,1.63805,2.31,0.183,2.5,1.152243072,NA,NA,NA,29.6162700119602,-46.84063,-46.4515,"waal_2942"
"waal_2942_2018",405,2018,NA,"2018-01-27 09:04:00","Female",3.947916667,209.8724779,936.7886783,21,0.513227513,0.391534392,0.095238095,0.804347826,5.34650009817243,6.84245772670663,-47.04843,-44.47865,2.56978,2.72,-0.135,1.8,1.152243072,NA,NA,NA,26.5822103141257,-47.04843,-46.37938,"waal_2942"
"waal_2942_2018",406,2018,NA,"2018-02-07 12:29:00","Female",6.604166667,923.1880775,2730.758387,16,0.466034755,0.252764613,0.281200632,0.473372781,6.82783298135069,7.91233464703634,-47.11972,-43.81938,3.30034,1.02,0.295,-0.8,1.152243072,NA,NA,NA,57.2441582493213,-47.10795,-45.80297,"waal_2942"
"waal_2944_2013",680,2013,11,"2013-03-20 12:20:00","Female",4.989583333,1612.8758,4191.860033,12,0.129707113,0.286610879,0.583682008,0.329326923,7.38577407578057,8.34089983636902,-46.40974,-32.9309,13.47884,2.31,0.183,2.5,0.523570246,1,1,"no attempt",171.537742978085,-46.35743,-34.077215,"waal_2944"
"waal_2944_2013",681,2013,11,"2013-03-27 08:58:00","Female",15.14583333,936.7473948,4901.77817,36,0.512044047,0.302821748,0.185134205,0.620592384,6.84241365656505,8.49735331010613,-46.63966,-41.45117,5.18849,2.31,0.183,2.5,0.523570246,1,1,"no attempt",39.3611683223835,-46.63966,-44.46038,"waal_2944"
"waal_2950_2013",547,2013,24,"2013-02-25 08:27:00","Female",9.979166667,1780.37843,6329.25548,26,0.262004175,0.267223382,0.470772443,0.362093352,7.48458122181331,8.7529378905272,-46.36979,-32.60207,13.76772,2.84,0.269,-0.4,1.560690432,1,0,"no attempt",44.1661359810632,-46.36979,-36.25644,"waal_2950"
"waal_2950_2014",127,2014,25,"2014-02-03 00:39:00","Female",14.26041667,1971.617016,9682.041391,29,0.376461988,0.213450292,0.410087719,0.342321219,7.58660930534784,9.17802804553698,-49.82887,-32.42423,17.40464,0.36,-0.009,0.1,1.560690432,1,1,"failedrep",80.4449051599589,-49.7731,-43.34503,"waal_2950"
"waal_2950_2018",437,2018,29,"2018-01-17 08:56:00","Female",14.02083333,1555.998905,10169.49429,31,0.232713755,0.324907063,0.442379182,0.423449612,7.34987300101058,9.22714776214253,-51.18814,-33.24166,17.94648,2.72,-0.135,1.8,1.560690432,1,1,"no attempt",47.7688367853289,-51.18814,-49.54415,"waal_2950"
"waal_2961_2011",498,2011,NA,"2011-01-17 16:44:00","Female",3.5625,1061.665561,3086.322133,6,0.202346041,0.202346041,0.595307918,0.253676471,6.96759423789334,8.03473541276374,-46.55886,-40.67371,5.88515,0.48,0.257,3.8,-0.556286617,NA,NA,NA,121.306125426635,-46.55886,-45.613185,"waal_2961"
"waal_2961_2014",145,2014,NA,"2014-02-19 22:53:00","Female",5.697916667,1540.569333,3858.479141,9,0.315018315,0.173992674,0.510989011,0.254010695,7.33990732383992,8.25802837989626,-46.35873,-38.21166,8.14707,0.36,-0.009,0.1,-0.556286617,NA,NA,NA,122.726119588107,-46.35873,-41.37534,"waal_2961"
"waal_2961_2016",207,2016,NA,"2016-01-23 20:57:00","Female",22.75,2475.82446,15067.59768,61,0.211996337,0.336538462,0.451465201,0.427077281,7.81432873468377,9.62030186816346,-47.44305,-32.57318,14.86987,3.13,0.331,-3.6,-0.556286617,NA,NA,NA,50.8316565317158,-47.44134,-36.79209,"waal_2961"
"waal_2961_2016",208,2016,NA,"2016-03-09 15:57:00","Female",5.895833333,1214.375079,3233.511185,17,0.392920354,0.237168142,0.369911504,0.390670554,7.10198488518574,8.08132387998071,-46.70763,-37.5936,9.11403,4.36,0.091,-0.1,-0.556286617,NA,NA,NA,70.6348800431699,-46.70763,-38.50048,"waal_2961"
"waal_2961_2016",209,2016,NA,"2016-03-18 10:51:00","Female",1.104166667,189.6821477,400.1438976,5,0.447619048,0.19047619,0.361904762,0.344827586,5.24534976444716,5.99182422641562,-46.35074,-45.12775,1.22299,4.36,0.091,-0.1,-0.556286617,NA,NA,NA,61.8398142994609,-46.35074,-45.19719,"waal_2961"
"waal_2961_2016",210,2016,NA,"2016-03-23 14:20:00","Female",5.697916667,192.5349781,638.5935716,30,0.628205128,0.3003663,0.071428571,0.807881773,5.26027784163718,6.45926821383478,-46.35885,-44.87882,1.48003,4.36,0.091,-0.1,-0.556286617,NA,NA,NA,28.8488600902518,-46.35885,-45.2168,"waal_2961"
"waal_2962_2013",682,2013,10,"2013-03-13 13:04:00","Female",4.8125,126.923553,1374.196623,15,0.33982684,0.551948052,0.108225108,0.836065574,4.84358496033515,7.22562456516418,-46.8999,-46.00634,0.893560000000001,2.31,0.183,2.5,0.480795274,1,1,"no attempt",37.3981535956911,-46.8999,-46.43706,"waal_2962"
"waal_2962_2013",683,2013,10,"2013-03-20 03:08:00","Female",3.1875,1016.599212,2538.517964,7,0.075409836,0.31147541,0.613114754,0.336879433,6.92421822987971,7.83933571098246,-46.36108,-39.16966,7.19142,2.31,0.183,2.5,0.480795274,1,1,"no attempt",35.7793634822868,-46.36108,-40.63199,"waal_2962"
"waal_2962_2013",684,2013,10,"2013-03-27 20:25:00","Female",3.375,1276.655729,3138.451224,2,0.015479876,0.263157895,0.721362229,0.267295597,7.15199922610696,8.05148471645473,-46.36453,-39.29835,7.06618,2.31,0.183,2.5,0.480795274,1,1,"no attempt",74.5267434065697,-46.36453,-41.70443,"waal_2962"
"waal_2962_2013",685,2013,10,"2013-04-01 05:47:00","Female",3.895833333,296.6655202,1668.504829,9,0.321715818,0.423592493,0.254691689,0.624505929,5.69260530955623,7.4196831924036,-46.59587,-44.58807,2.0078,-0.07,-0.222,0.4,0.480795274,1,1,"no attempt",47.83307532047,-46.59587,-45.79806,"waal_2962"
