"id","Year","Age","trackid","start_time","DeploymentID","sex","tripduration.days","maxdistance.km","totalpathdistance.km","total_landings_hmm","propRest_hmm","propSearch_hmm","propTravel_hmm","propARSvsTravel_hmm","logmaxdistance.km","logtotalpathdistance.km","southLat","northLat","latRange","SAMIndex","SOIIndex","boldness","attempted_breeding","breeding_success","prevyear"
"waal_2640",2013,35,34,"2013-01-26 18:33:00","BS27593_2013","Male",5.479166667,89.60013139,913.8504735,15,0.563809524,0.392380952,0.043809524,0.899563319,4.49535678638606,6.81766696233787,-47.04975,-45.66823,1.38152,0.71,-0.1,1.149499584,1,0,"no attempt"
"waal_2640",2018,40,426,"2018-03-12 08:28:00","BS27593_2018","Male",6.302083333,1524.973932,4372.291116,12,0.294701987,0.208609272,0.496688742,0.295774648,7.32973259512492,8.38304243353894,-46.99361,-33.01459,13.97902,-0.03,2.4,1.149499584,1,1,"no attempt"
"waal_2640",2018,40,425,"2018-03-02 14:40:00","BS27593_2018","Male",8.041666667,734.8439655,3797.372408,16,0.189364462,0.555123217,0.255512322,0.6848,6.599658184839,8.2420646349588,-47.00229,-44.94126,2.06103,-0.03,2.4,1.149499584,1,1,"no attempt"
"waal_2640",2018,40,424,"2018-02-04 11:43:00","BS27593_2018","Male",15.14583333,1314.328883,8301.687007,31,0.392980041,0.236751549,0.37026841,0.390022676,7.18108145920328,9.02421402698685,-51.2567,-37.18366,14.07304,1.02,-0.8,1.149499584,1,1,"no attempt"
"waal_2647",2018,18,377,"2018-01-18 13:34:00","BS27601_2018","Male",12.82291667,1247.271645,5121.589151,45,0.36097561,0.404878049,0.234146341,0.633587786,7.12871376076976,8.54122005093001,-53.38507,-46.30885,7.07622,2.72,1.8,-2.464524336,1,1,"no attempt"
"waal_2655",2011,26,464,"2011-01-15 16:44:00","BS27614_2011","Male",10.82291667,1031.16539,4885.302009,33,0.400770713,0.253371869,0.345857418,0.422829582,6.93844488822232,8.49398638631204,-54.96593,-44.29246,10.67347,0.48,3.8,1.45134383,1,1,"no attempt"
"waal_2655",2013,28,35,"2013-02-25 03:34:00","BS27614_2013","Male",20.22916667,2145.228458,15794.16586,32,0.239958805,0.179711637,0.580329557,0.236449864,7.67100133291673,9.66739590145863,-64.60458,-46.29293,18.31165,2.84,-0.4,1.45134383,1,1,"no attempt"
"waal_2655",2015,30,163,"2015-03-05 15:08:00","BS27614_2015","Male",10.125,3230.473722,9048.659113,13,0.255406797,0.139031926,0.605561277,0.186721992,8.08038406862061,9.11037186140716,-61.5518,-46.33294,15.21886,0.88,-1.2,1.45134383,1,1,"no attempt"
"waal_2655",2015,30,162,"2015-02-06 13:15:00","BS27614_2015","Male",6.6875,775.4711146,2556.248597,19,0.5171875,0.2328125,0.25,0.482200647,6.65347073446963,7.84629607094011,-47.30112,-43.80638,3.49474,4.92,0.4,1.45134383,1,1,"no attempt"
"waal_2660",2017,34,315,"2017-02-15 08:39:00","BS27620_2017","Male",18.1875,1310.300332,10757.41711,34,0.293814433,0.300114548,0.406071019,0.424979724,7.1780116509876,9.2833507593612,-53.95857,-40.04197,13.9166,-1.09,-0.1,0.639621586,1,1,"no attempt"
"waal_2670",2013,23,667,"2013-03-31 13:33:00","BS27642_2013_b","Male",4.479166667,1515.573922,3971.374127,8,0.130536131,0.291375291,0.578088578,0.335120643,7.3235494726095,8.28686744150067,-46.44017,-34.45071,11.98946,2.31,2.5,2.27169065,1,1,"no attempt"
"waal_2670",2013,23,666,"2013-03-29 11:25:00","BS27642_2013_b","Male",0.822916667,114.1531148,317.7600673,2,0.076923077,0.730769231,0.192307692,0.791666667,4.73754065950672,5.76129659265185,-46.3578,-45.5051,0.852699999999999,2.31,2.5,2.27169065,1,1,"no attempt"
"waal_2670",2013,23,665,"2013-03-24 06:45:00","BS27642_2013_b","Male",3.927083333,571.1378379,2628.988719,1,0.039893617,0.537234043,0.42287234,0.559556787,6.34763057789738,7.87435453373551,-46.35864,-44.32598,2.03266,2.31,2.5,2.27169065,1,1,"no attempt"
"waal_2670",2013,23,664,"2013-03-17 09:00:00","BS27642_2013_b","Male",5.177083333,962.5132873,3524.908277,5,0.143145161,0.268145161,0.588709677,0.312941176,6.86954787105366,8.1676096941986,-48.11614,-39.89282,8.22332,2.31,2.5,2.27169065,1,1,"no attempt"
"waal_2706",2013,25,62,"2013-02-23 01:07:00","BS27707_2013","Male",13.10416667,2696.046993,9743.136014,26,0.143198091,0.280827367,0.575974543,0.327762303,7.89954190251827,9.18431831750444,-62.72202,-46.21726,16.50476,2.84,-0.4,-1.220837017,1,1,"no attempt"
"waal_2709",2017,35,296,"2017-02-07 07:38:00","BS27710_2017","Male",5.864583333,172.1110099,1714.090155,17,0.379003559,0.519572954,0.101423488,0.836676218,5.14813967502367,7.44663769695763,-46.83015,-44.83452,1.99563000000001,-1.09,-0.1,1.459797138,1,1,"failedrep"
"waal_2712",2019,42,484,"2019-01-22 08:54:00","BS27713_2019","Male",20.8125,2245.034908,14839.79682,62,0.243243243,0.288788789,0.467967968,0.381613757,7.71647634927596,9.60506782525298,-65.0087,-45.69003,19.31867,2.79,-0.1,NA,1,1,"no attempt"
"waal_2720",2011,NA,496,"2011-02-10 06:25:00","BS27729_2011","Male",8,223.4195431,1405.3118,35,0.481095176,0.436766623,0.082138201,0.841708543,5.40905136311331,7.24801447885505,-46.7035,-45.3963,1.3072,0.87,4.5,-0.236342246,NA,NA,NA
"waal_2724",2017,10,350,"2017-02-06 05:48:00","BS27734_2017","Male",13.95833333,1687.887828,9442.970885,34,0.241224795,0.311426438,0.447348768,0.410433071,7.43123322034119,9.15302592202206,-61.02441,-44.59251,16.4319,-1.09,-0.1,-0.255349772,1,1,"no attempt"
"waal_2766",2018,11,387,"2018-03-23 14:35:00","BS27850_2018","Male",4.645833333,346.2305308,2327.511692,11,0.289237668,0.551569507,0.159192825,0.776025237,5.84710482718419,7.75255503255429,-47.1022,-46.1154,0.986800000000002,-0.03,2.4,NA,1,1,"no attempt"
"waal_2766",2018,11,386,"2018-03-15 13:28:00","BS27850_2018","Male",2.541666667,241.1236473,802.3963632,12,0.50617284,0.304526749,0.189300412,0.616666667,5.48530986125681,6.68760270423466,-46.96871,-45.96008,1.00863,-0.03,2.4,NA,1,1,"no attempt"
"waal_2808",2017,32,299,"2017-02-05 05:04:00","BS27929_2017","Male",14.17708333,1640.712833,8691.456861,41,0.397058824,0.220588235,0.382352941,0.365853659,7.40288608065173,9.07009585219428,-50.79045,-32.82857,17.96188,-1.09,-0.1,2.330813433,1,1,"no attempt"
"waal_2816",2019,NA,465,"2019-02-16 06:00:00","BS27946_2019","Male",13.22916667,545.0713934,4075.454208,51,0.378250591,0.433412136,0.188337273,0.697084918,6.3009167831481,8.31273748154942,-47.28829,-42.53852,4.74977000000001,-1.87,-2.3,-0.634187084,NA,NA,NA
"waal_4628",2019,NA,454,"2019-02-16 07:43:00","BS28228_2019","Male",14.83333333,2306.630871,7950.196918,42,0.338018271,0.307097681,0.354884048,0.463906582,7.74354324147059,8.98095197690137,-66.12152,-45.97608,20.14544,-1.87,-2.3,-0.473145693,NA,NA,NA
"waal_2938",2019,11,480,"2019-02-03 09:03:00","BS28246_2019","Male",6.666666667,580.1873273,2022.2264,27,0.48200313,0.355242567,0.162754304,0.685800604,6.36335102949771,7.6119543616606,-48.9455,-45.08283,3.86267,-1.87,-2.3,NA,1,1,"no attempt"
"waal_2967",2013,24,686,"2013-03-22 04:16:00","BS28284_2013_b","Male",1.427083333,108.8464961,358.2358866,3,0.455882353,0.441176471,0.102941176,0.810810811,4.68993859699248,5.88119167053798,-46.90451,-46.42939,0.475120000000004,2.31,2.5,-0.434299278,1,1,"no attempt"
"waal_2967",2013,24,687,"2013-03-25 07:55:00","BS28284_2013_b","Male",1.229166667,78.13475075,274.1596434,6,0.618644068,0.322033898,0.059322034,0.844444444,4.3584349098685,5.61371057686519,-46.97685,-46.42848,0.548369999999998,2.31,2.5,-0.434299278,1,1,"no attempt"
"waal_2967",2013,24,689,"2013-03-31 13:57:00","BS28284_2013_b","Male",2.708333333,150.6379759,456.1979293,6,0.646153846,0.280769231,0.073076923,0.793478261,5.01487944758842,6.12292677082201,-47.03037,-46.42828,0.602089999999997,2.31,2.5,-0.434299278,1,1,"no attempt"
